Date,Predicted_High,Predicted_Low
12-01-2024,1.1025,0.9534
11-24-2024,1.1027,0.9534
11-17-2024,1.1026,0.9534
11-10-2024,1.1026,0.9534
11-03-2024,1.1031,0.9534
10-27-2024,1.1039,0.9534
10-20-2024,1.1038,0.9534
10-13-2024,1.1036,0.9534
10-06-2024,1.1039,0.9534
09-29-2024,1.1042,0.9534
09-22-2024,1.105,0.9534
09-15-2024,1.105,0.9534
09-08-2024,1.1049,0.9534
09-01-2024,1.1046,0.9534
08-25-2024,1.1048,0.9534
08-18-2024,1.1049,0.9534
08-11-2024,1.1049,0.9534
08-04-2024,1.1044,0.9534
07-28-2024,1.1042,0.9534
07-21-2024,1.1039,0.9534
07-14-2024,1.1038,0.9534
07-07-2024,1.104,0.9534
06-30-2024,1.1038,0.9534
06-23-2024,1.1036,0.9534
06-16-2024,1.1032,0.9534
06-09-2024,1.1032,0.9534
06-02-2024,1.1036,0.9534
05-26-2024,1.1038,0.9534
05-19-2024,1.1037,0.9534
05-12-2024,1.1037,0.9534
05-05-2024,1.1038,0.9534
04-28-2024,1.1033,0.9534
04-21-2024,1.1034,0.9534
04-14-2024,1.1032,0.9534
04-07-2024,1.1029,0.9534
03-31-2024,1.1037,0.9534
03-24-2024,1.1037,0.9534
03-17-2024,1.1036,0.9534
03-10-2024,1.104,0.9534
03-03-2024,1.104,0.9534
02-25-2024,1.1041,0.9534
02-18-2024,1.1036,0.9534
02-11-2024,1.1037,0.9534
02-04-2024,1.1034,0.9534
01-28-2024,1.1034,0.9534
01-21-2024,1.1038,0.9534
01-14-2024,1.1039,0.9534
01-07-2024,1.1041,0.9534
12-31-2023,1.1041,0.9534
12-24-2023,1.1044,0.9534
12-17-2023,1.1047,0.9534
12-10-2023,1.1043,0.9534
12-03-2023,1.1042,0.9534
11-26-2023,1.1038,0.9534
11-19-2023,1.1042,0.9534
11-12-2023,1.104,0.9534
11-05-2023,1.1038,0.9534
10-29-2023,1.1032,0.9534
10-22-2023,1.1032,0.9534
10-15-2023,1.103,0.9534
10-08-2023,1.1026,0.9534
10-01-2023,1.1027,0.9534
09-24-2023,1.1026,0.9534
09-17-2023,1.1028,0.9534
09-10-2023,1.1031,0.9534
09-03-2023,1.1033,0.9534
08-27-2023,1.1034,0.9534
08-20-2023,1.104,0.9534
08-13-2023,1.1039,0.9534
08-06-2023,1.104,0.9534
07-30-2023,1.1044,0.9534
07-23-2023,1.1044,0.9534
07-16-2023,1.1047,0.9534
07-09-2023,1.1052,0.9534
07-02-2023,1.1051,0.9534
06-25-2023,1.1041,0.9534
06-18-2023,1.1041,0.9534
06-11-2023,1.1042,0.9534
06-04-2023,1.1041,0.9534
05-28-2023,1.1033,0.9534
05-21-2023,1.1033,0.9534
05-14-2023,1.1035,0.9534
05-07-2023,1.1038,0.9534
04-30-2023,1.1044,0.9534
04-23-2023,1.1045,0.9534
04-16-2023,1.1045,0.9534
04-09-2023,1.1042,0.9534
04-02-2023,1.1045,0.9534
03-26-2023,1.1041,0.9534
03-19-2023,1.1039,0.9534
03-12-2023,1.1039,0.9534
03-05-2023,1.1032,0.9534
02-26-2023,1.103,0.9534
02-19-2023,1.1029,0.9534
02-12-2023,1.103,0.9534
02-05-2023,1.1034,0.9534
01-29-2023,1.1034,0.9534
01-22-2023,1.1043,0.9534
01-15-2023,1.1039,0.9534
01-08-2023,1.1037,0.9534
01-01-2023,1.1037,0.9534
12-25-2022,1.103,0.9534
12-18-2022,1.103,0.9534
12-11-2022,1.1028,0.9534
12-04-2022,1.1031,0.9534
11-27-2022,1.1025,0.9534
11-20-2022,1.1023,0.9534
11-13-2022,1.1019,0.9534
11-06-2022,1.1021,0.9534
10-30-2022,1.1016,0.9534
10-23-2022,1.0999,0.9534
10-16-2022,1.1004,0.9534
10-09-2022,1.0994,0.9534
10-02-2022,1.0991,0.9534
09-25-2022,1.1,0.9534
09-18-2022,1.0993,0.9534
09-11-2022,1.1002,0.9534
09-04-2022,1.1009,0.9534
08-28-2022,1.1005,0.9534
08-21-2022,1.1004,0.9534
08-14-2022,1.1004,0.9534
08-07-2022,1.1012,0.9534
07-31-2022,1.1016,0.9534
07-24-2022,1.1013,0.9534
07-17-2022,1.1011,0.9534
07-10-2022,1.1012,0.9534
07-03-2022,1.1008,0.9534
06-26-2022,1.102,0.9534
06-19-2022,1.1026,0.9534
06-12-2022,1.1026,0.9534
06-05-2022,1.1026,0.9534
05-29-2022,1.1033,0.9534
05-22-2022,1.1033,0.9534
05-15-2022,1.1032,0.9534
05-08-2022,1.1026,0.9534
05-01-2022,1.1025,0.9534
04-24-2022,1.1027,0.9534
04-17-2022,1.1036,0.9534
04-10-2022,1.1039,0.9534
04-03-2022,1.104,0.9534
03-27-2022,1.1044,0.9534
03-20-2022,1.1049,0.9534
03-13-2022,1.1044,0.9534
03-06-2022,1.1047,0.9534
02-27-2022,1.1046,0.9534
02-20-2022,1.1051,0.9534
02-13-2022,1.1056,0.9534
02-06-2022,1.1057,0.9534
01-30-2022,1.106,0.9534
01-23-2022,1.106,0.9534
01-16-2022,1.1055,0.9534
01-09-2022,1.1058,0.9534
01-02-2022,1.106,0.9534
12-26-2021,1.1056,0.9534
12-19-2021,1.1056,0.9534
12-12-2021,1.1055,0.9534
12-05-2021,1.1055,0.9534
11-28-2021,1.1055,0.9534
11-21-2021,1.1056,0.9534
11-14-2021,1.1054,0.9534
11-07-2021,1.1059,0.9534
10-31-2021,1.1064,0.9534
10-24-2021,1.1065,0.9534
10-17-2021,1.1067,0.9534
10-10-2021,1.1067,0.9534
10-03-2021,1.1065,0.9534
09-26-2021,1.1066,0.9534
09-19-2021,1.1069,0.9534
09-12-2021,1.107,0.9534
09-05-2021,1.1073,0.9534
08-29-2021,1.1075,0.9534
08-22-2021,1.1075,0.9534
08-15-2021,1.1071,0.9534
08-08-2021,1.1071,0.9534
08-01-2021,1.1072,0.9534
07-25-2021,1.1075,0.9534
07-18-2021,1.1076,0.9534
07-11-2021,1.1073,0.9534
07-04-2021,1.1074,0.9534
06-27-2021,1.1075,0.9534
06-20-2021,1.1077,0.9534
06-13-2021,1.1078,0.9534
06-06-2021,1.1085,0.9534
05-30-2021,1.1088,0.9534
05-23-2021,1.109,0.9534
05-16-2021,1.1091,0.9534
05-09-2021,1.109,0.9534
05-02-2021,1.1087,0.9534
04-25-2021,1.1086,0.9534
04-18-2021,1.1085,0.9534
04-11-2021,1.1083,0.9534
04-04-2021,1.1079,0.9534
03-28-2021,1.1076,0.9534
03-21-2021,1.1071,0.9534
03-14-2021,1.1077,0.9534
03-07-2021,1.1079,0.9534
02-28-2021,1.1079,0.9534
02-21-2021,1.1084,0.9534
02-14-2021,1.109,0.9534
02-07-2021,1.1086,0.9534
01-31-2021,1.1085,0.9534
01-24-2021,1.1085,0.9534
01-17-2021,1.1087,0.9534
01-10-2021,1.1087,0.9534
01-03-2021,1.1089,0.9534
12-27-2020,1.1095,0.9534
12-20-2020,1.1093,0.9534
12-13-2020,1.109,0.9534
12-06-2020,1.1091,0.9534
11-29-2020,1.1086,0.9534
11-22-2020,1.1086,0.9534
11-15-2020,1.1078,0.9534
11-08-2020,1.1075,0.9534
11-01-2020,1.1076,0.9534
10-25-2020,1.1075,0.9534
10-18-2020,1.1074,0.9534
10-11-2020,1.1074,0.9534
10-04-2020,1.1072,0.9534
09-27-2020,1.1073,0.9534
09-20-2020,1.107,0.9534
09-13-2020,1.1074,0.9534
09-06-2020,1.1075,0.9534
08-30-2020,1.1076,0.9534
08-23-2020,1.108,0.9534
08-16-2020,1.1076,0.9534
08-09-2020,1.1078,0.9534
08-02-2020,1.1074,0.9534
07-26-2020,1.1076,0.9534
07-19-2020,1.1075,0.9534
07-12-2020,1.1066,0.9534
07-05-2020,1.1059,0.9534
06-28-2020,1.1056,0.9534
06-21-2020,1.1053,0.9534
06-14-2020,1.1055,0.9534
06-07-2020,1.1055,0.9534
05-31-2020,1.1057,0.9534
05-24-2020,1.1056,0.9534
05-17-2020,1.1047,0.9534
05-10-2020,1.1042,0.9534
05-03-2020,1.1038,0.9534
04-26-2020,1.1041,0.9534
04-19-2020,1.1042,0.9534
04-12-2020,1.1038,0.9534
04-05-2020,1.1041,0.9534
03-29-2020,1.104,0.9534
03-22-2020,1.1047,0.9534
03-15-2020,1.1047,0.9534
03-08-2020,1.1051,0.9534
03-01-2020,1.106,0.9534
02-23-2020,1.1055,0.9534
02-16-2020,1.1044,0.9534
02-09-2020,1.1036,0.9534
02-02-2020,1.104,0.9534
01-26-2020,1.1045,0.9534
01-19-2020,1.1045,0.9534
01-12-2020,1.1046,0.9534
01-05-2020,1.1048,0.9534
